Season,Episode,top_keywords
season-05,e6,"['sam', 'll', 'egg', 'don', 'theon', 've', 'fighter', 'pit', 'know', 'gilly']"
season-05,e7,"['karsi', 'wights', 'jon', 'gate', 'tormund', 'wight', 'walker', 'cabin', 'man', 'boats']"
season-05,e8,"['oysters', 'pit', 'doran', 'ellaria', 'man', 'dolorous', 'harpy', 'jorah', 'hizdahr', 'trystane']"
season-05,e9,"['moro', 'sparrow', 'lancel', 'khal', 'loras', 'margaery', 'militant', 'staff', 'waif', 'faith']"
season-06,e1,"['unella', 'septa', 'walder', 'handmaiden', 'maester', 'daario', 'ned', 'gregor', 'sam', 'stands']"
season-06,e10,"['ramsay', 'balon', 'snow', 'walda', 'waif', 'jon', 'davos', 'hodor', 'young', 'staff']"
season-06,e2,"['waif', 'arthur', 'arya', 'snow', 'jon', 'platform', 'sparrow', 'gregor', 'dolorous', 'edd']"
season-06,e3,"['daario', 'jorah', 'dothraki', 'margaery', 'royce', 'sparrow', 'robin', 'man', 'yohn', 'know']"
season-06,e4,"['leaf', 'hodor', 'bran', 'prop', 'euron', 'meera', 'wights', 'crane', 'forest', 'clarenzo']"
season-06,e5,"['sam', 'crane', 'ray', 'bobono', 'gilly', 'izembaro', 'prop', 'margaery', 'sparrow', 'clarenzo']"
season-06,e6,"['ray', 'sandor', 'walder', 'lothar', 'edmure', 'walks', 'll', 'don', 'men', 'brynden']"
season-06,e7,"['brynden', 'edmure', 'brienne', 'riverrun', 'sandor', 'gregor', 'podrick', 'jaime', 'man', 'missandei']"
season-06,e8,"['wun', 'jon', 'ramsay', 'snow', 'smalljon', 'tormund', 'bolton', 'men', 'sandor', 'waif']"
season-06,e9,"['sam', 'sandor', 'thoros', 'euron', 'bowl', 'don', 'marwyn', 'walks', 'places', 'pod']"
season-07,e1,"['samwell', 'marwyn', 'tarley', 'king', 'lords', 'jon', 'daenerys', 'jorah', 'agreement', 'greyscale']"
season-07,e2,"['euron', 'ellaria', 'tyene', 'yara', 'jon', 'cersei', 'daenerys', 'davos', 'don', 'begins']"
season-07,e3,"['bronn', 'drogon', 'arya', 'jaime', 'daenerys', 'brienne', 'men', 'dickon', 'bran', 'jon']"
season-07,e4,"['davos', 'gendry', 'randyll', 'tyrion', 'men', 'jaime', 'dickon', 'boat', 'daenerys', 'jon']"
season-07,e5,"['sandor', 'jon', 'wight', 'tormund', 'don', 'know', 'mountain', 'jorah', 'thoros', 'cersei']"
season-07,e6,"['theon', 'north', 'jon', 'yara', 'sansa', 'did', 'betrayed', 'littlefinger', 'winterfell', 'cersei']"
season-07,e7,"['euron', 'jon', 'daenerys', 'undead', 'walks', 'samwell', 'rhaegal', 'queen', 'cersei', 'don']"
season-08,e1,"['jaime', 'tyrion', 'daenerys', 'brienne', 'walks', 'bran', 'turns', 'looks', 'jon', 'sansa']"
season-08,e2,"['gendry', 'brienne', 'tormund', 'jon', 'jaime', 'arya', 'daenerys', 'tyrion', 'podrick', 'hound']"
season-08,e3,"['ancestors', 'ruin', 'fancy', 'family', 'lads', 'highgarden', 'ways', 'people', 'kill', 'rich']"
season-08,e4,"['jon', 'tyrion', 'unsullied', 'daenerys', 'grey', 'worm', 'drogon', 'queen', 'looks', 'walks']"
